time (min)/weight (g),Set3_D31,Set3_D32,Set3_D33,Set2_D21,Set2_D22,Set2_D23,Set1_D11,Set1_D12,Set1_D13
206.0,450.0,601.0,444.0,286.3,314.7,331.7,672.0,649.0,568.0
207.0,452.0,603.3,445.7,287.7,316.0,333.3,674.0,651.3,570.0
208.0,454.0,605.3,447.3,288.7,317.0,334.3,676.0,653.3,572.0
209.0,455.0,607.7,449.3,289.7,318.3,336.0,678.0,655.0,574.0
210.0,457.0,609.3,450.7,291.0,319.7,337.3,680.0,656.7,577.0
211.0,459.0,611.7,452.3,292.7,321.3,339.0,682.0,659.0,579.0
212.0,460.0,613.7,453.7,293.7,322.7,340.0,684.0,661.0,581.0
213.0,462.0,615.3,455.7,295.0,323.7,341.3,686.0,662.7,583.0
214.0,463.0,617.7,457.0,296.0,325.0,342.3,688.3,664.7,585.0
215.0,465.0,619.0,459.0,297.3,326.3,344.3,690.3,666.3,587.0
216.0,466.0,621.0,460.3,298.7,327.3,345.7,692.3,668.3,589.0
217.0,468.0,623.0,462.0,300.3,328.7,346.7,694.0,670.3,590.0
218.0,470.0,625.3,463.7,301.3,330.0,348.3,695.7,672.0,593.0
219.0,471.0,627.0,465.0,302.3,332.0,350.0,698.0,673.7,595.0
220.0,472.0,629.0,466.7,303.7,333.0,351.0,700.0,675.7,597.0
221.0,474.0,631.3,468.3,305.0,334.0,352.3,701.7,677.7,599.0
222.0,476.0,633.3,470.3,306.3,335.7,353.7,703.7,679.7,601.0
223.0,477.0,635.3,472.0,307.7,337.0,355.0,706.0,681.3,603.0
224.0,479.0,637.3,473.0,308.7,338.3,356.7,707.3,683.0,604.0
225.0,480.0,639.3,474.7,310.0,339.3,357.7,709.3,684.7,607.0
226.0,482.0,641.0,476.0,311.0,340.7,359.3,711.3,686.7,609.0
227.0,483.0,643.0,478.3,312.0,342.0,360.7,713.3,688.3,611.0
228.0,485.0,644.7,479.3,314.0,343.3,361.7,715.0,690.0,612.0
229.0,486.0,646.7,481.0,315.0,344.7,363.3,717.0,692.0,614.0
230.0,488.0,648.3,482.7,316.0,345.7,365.0,718.7,693.3,616.0
231.0,489.0,650.7,484.0,317.3,347.3,366.0,721.0,695.3,618.0
232.0,491.0,652.3,486.0,318.3,348.3,367.3,722.0,697.3,620.0
233.0,492.0,654.0,487.3,319.3,349.7,368.3,724.0,699.0,622.0
234.0,494.0,656.0,489.0,321.3,351.0,370.0,726.0,700.7,624.0
235.0,495.0,658.0,490.3,322.3,352.0,371.7,728.0,702.3,626.0
236.0,496.0,659.7,491.7,323.7,353.7,372.7,729.7,704.0,627.0
237.0,498.0,661.7,493.7,324.7,355.0,374.0,731.7,706.0,629.0
238.0,500.0,663.3,494.7,325.7,356.3,375.0,733.3,707.3,631.0
239.0,501.0,665.3,497.0,327.0,357.3,376.7,735.3,709.3,633.0
240.0,502.0,667.3,498.0,328.3,358.7,378.0,737.3,711.0,635.0
241.0,504.0,669.3,499.3,329.7,359.7,379.3,738.7,712.3,637.0
242.0,505.0,670.7,501.0,331.0,361.0,381.0,740.3,714.0,639.0
243.0,507.0,672.3,502.7,332.0,362.3,382.0,742.3,716.0,641.0
244.0,508.0,674.3,504.3,333.0,363.3,383.3,743.7,717.7,643.0
245.0,510.0,676.3,505.3,334.3,364.7,384.3,745.3,719.0,644.0
246.0,511.0,678.0,507.3,335.7,366.0,386.0,747.3,720.7,646.0
247.0,513.0,679.7,508.7,337.3,367.0,387.3,749.0,722.3,648.0
248.0,514.0,681.3,510.0,338.3,368.3,388.7,750.7,723.7,650.0
249.0,515.0,683.3,511.3,339.3,369.3,390.0,752.3,725.3,652.0
250.0,517.0,685.0,513.3,340.3,370.7,391.0,754.0,727.3,653.0
251.0,518.0,686.7,514.3,341.7,372.3,392.0,755.7,728.7,655.0
252.0,520.0,688.3,516.3,342.7,373.3,393.7,757.7,730.7,657.0
253.0,521.0,690.0,517.7,344.0,374.7,395.3,759.0,732.0,659.0
254.0,523.0,692.0,518.7,345.7,376.0,396.3,761.0,733.7,661.0
255.0,524.0,693.7,520.7,346.7,377.3,397.7,762.3,735.0,662.0
