Time (min) ,F11_T5,F12_T6,F13_T7,F21_T1,F22_T2,F23_T13,F31_T18,F32_T19,F33_T20,F34_T17
253,5451.7,5415,5370,3621.7,3893.3,4520,8300,7080,5985,
254,5465,5430,5381.7,3631.7,3903.3,4530,8315,7095,5995,
255,5475,5440,5391.7,3641.7,3913.3,4540,8328.3,7110,6010,
256,5490,5453.3,5406.7,3653.3,3923.3,4551.7,8341.7,7120,6025,
257,5500,5465,5416.7,3663.3,3935,4563.3,8355,7135,6035,
258,5515,5475,5428.3,3673.3,3945,4575,8368.3,7150,6050,
259,5525,5490,5441.7,3683.3,3955,4585,8381.7,7165,6065,
260,5538.3,5500,5451.7,3691.7,3966.7,4598.3,8395,7175,6075,
261,5550,5515,5463.3,3701.7,3976.7,4608.3,8408.3,7190,6090,
262,5561.7,5525,5476.7,3711.7,3986.7,4620,8421.7,7205,6105,
263,5575,5535,5486.7,3721.7,3998.3,4630,8436.7,7215,6120,
264,5585,5550,5498.3,3733.3,4008.3,4641.7,8446.7,7230,6130,
265,5600,5560,5510,3741.7,4018.3,4653.3,8460,7245,6145,
266,5610,5570,5521.7,3751.7,4028.3,4663.3,8471.7,7255,6155,
267,5620,5585,5533.3,3761.7,4038.3,4673.3,8485,7270,6170,
268,5635,5595,5543.3,3771.7,4048.3,4685,8498.3,7285,6180,
269,5645,5605,5555,3781.7,4060,4696.7,8511.7,7295,6195,
270,5660,5618.3,5568.3,3791.7,4070,4708.3,8523.3,7310,6205,
271,5670,5630,5578.3,3800,4080,4718.3,8535,7325,6220,
272,5680,5640,5588.3,3810,4090,4728.3,8548.3,7335,6235,
273,5691.7,5653.3,5600,3820,4140,4738.3,8560,7350,6245,
274,5705,5665,5611.7,3830,4116.7,4748.3,8573.3,7360,6260,
275,5715,5675,5623.3,3840,4126.7,4760,8583.3,7375,6270,
276,5726.7,5685,5633.3,3850,4136.7,4773.3,8595,7385,6285,
277,5738.3,5698.3,5645,3858.3,4146.7,4783.3,8608.3,7400,6295,
278,5750,5708.3,5656.7,3868.3,4155,4793.3,8620,7410,6310,
279,5761.7,5720,5666.7,3878.3,4166.7,4803.3,8631.7,7425,6320,
280,5771.7,5730,5676.7,3886.7,4176.7,4813.3,8641.7,7435,6335,
281,5783.3,5743.3,5688.3,3896.7,4186.7,4823.3,8653.3,7450,6345,
282,5796.7,5753.3,5698.3,3908.3,4196.7,4833.3,8665,7460,6360,
283,5806.7,5763.3,5708.3,3916.7,4205,4843.3,8675,7475,6370,
284,5818.3,5775,5721.7,3928.3,4215,4855,8688.3,7485,6385,
285,5830,5785,5731.7,3935,4226.7,4865,8698.3,7495,6395,
286,5840,5798.3,5741.7,3943.3,4235,4876.7,8710,7510,6405,
287,5851.7,5808.3,5751.7,3955,4245,4886.7,8720,7520,6420,
288,5863.3,5818.3,5761.7,3965,4255,4896.7,8731.7,7535,6430,
289,5875,5828.3,5771.7,3973.3,4263.3,4906.7,8741.7,7545,6445,
290,5885,5840,5781.7,3983.3,4273.3,4916.7,8751.7,7555,6455,
291,5895,5853.3,5793.3,3991.7,4283.3,4926.7,8763.3,7570,6465,
292,5905,5863.3,5803.3,4000,4293.3,4936.7,8773.3,7580,6480,
293,5916.7,5873.3,5813.3,4010,4303.3,4946.7,8783.3,7590,6490,
294,5928.3,5883.3,5825,4020,4313.3,4956.7,8795,7605,6505,
295,5938.3,5893.3,5836.7,4030,4323.3,4966.7,8803.3,7615,6515,
296,5950,5903.3,5845,4040,4331.7,4976.7,8815,7625,6525,
297,5960,5913.3,5855,4046.7,4341.7,4986.7,8825,7640,6540,
298,5970,5923.3,5865,4056.7,4350,4996.7,8835,7650,6550,
299,5981.7,5933.3,5875,4066.7,4360,5006.7,8845,7660,6560,
300,5991.7,5945,5885,4076.7,4370,5016.7,8855,7670,6575,
301,6001.7,5956.7,5895,4086.7,4380,5026.7,8865,7685,6585,
302,6013.3,5966.7,5905,4093.3,4390,5036.7,8873.3,7695,6595,
303,6023.3,5976.7,5915,4103.3,4398.3,5046.7,8883.3,7705,6605,
304,6033.3,5986.7,5925,4111.7,4406.7,5056.7,8893.3,7715,6620,
305,6045,5996.7,5935,4121.7,4416.7,5066.7,8903.3,7725,6630,
306,6055,6006.7,5945,4128.3,4426.7,5076.7,8911.7,7740,6640,
307,6065,6016.7,5955,4138.3,4436.7,5086.7,8921.7,7750,6650,
308,6075,6026.7,5965,4148.3,4446.7,5095,8931.7,7760,6665,
309,6085,6036.7,5975,4158.3,4455,5105,8941.7,7770,6675,
310,6095,6046.7,5983.3,4166.7,4463.3,5115,8950,7780,6685,
311,6105,6056.7,5993.3,4175,4473.3,5123.3,8960,7790,6695,
